-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |   Rel. |    Aki     | Acc. |       Ei           Ek       |     Lower level     |     Upper level     |Type|        TP  |       Line  |
    Wavelength    |    Wavelength    |   Int. |   (s^-1)   |      |     (cm-1)       (cm-1)     |---------------------|---------------------|    |       Ref. |       Ref.  |
     Air (nm)     |     Air (nm)     |        |            |      |                             | Conf.  | Term | J   | Conf.  | Term | J   |    |            |             |
                  |        408.4267  |        | 7.17e+03   | E    |  121484.252  -   145961.54  | 3s.4d  | 3D   | 1   | 3p.4s  | 3P*  | 2   |    | T6298c4,LS |             |
                  |        410.5486  |        | 5.30e+05   | C    |  121483.92   -   145834.70  | 3s.4d  | 3D   | 2   | 3p.4s  | 3P*  | 1   |    | T6298c4,LS |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        410.5542  |        | 1.77e+05   | D    |  121484.252  -   145834.70  | 3s.4d  | 3D   | 1   | 3p.4s  | 3P*  | 1   |    | T6298c4,LS |             |
                  |        411.5438  |        | 7.01e+05   | D    |  121484.252  -   145776.15  | 3s.4d  | 3D   | 1   | 3p.4s  | 3P*  | 0   |    | T6298c4,LS |             |
        422.6813  |        422.6816  |     50 | 9.37e+06   | C+   |  121483.50   -   145135.31  | 3s.4d  | 3D   | 3   | 3s.8f  | 3F*  | 4   |    | T6298c4,LS |      L4575  |
        422.7420  |        422.7420  |     10 | 1.04e+06   | D    |  121483.50   -   145131.93  | 3s.4d  | 3D   | 3   | 3s.8f  | 3F*  | 3   |    | T6298c4,LS |      L3515  |
        422.7492  |        422.7495  |     50 | 8.31e+06   | C+   |  121483.92   -   145131.93  | 3s.4d  | 3D   | 2   | 3s.8f  | 3F*  | 3   |    | T6298c4,LS |      L4575  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        422.7875  |        422.7853  |      2 | 4.11e+04   | E    |  121483.50   -   145129.51  | 3s.4d  | 3D   | 3   | 3s.8f  | 3F*  | 2   |    | T6298c4,LS |      L3515  |
        422.7945  |        422.7928  |      5 | 1.46e+06   | D    |  121483.92   -   145129.51  | 3s.4d  | 3D   | 2   | 3s.8f  | 3F*  | 2   |    | T6298c4,LS |      L3515  |
        422.7999  |        422.7987  |     50 | 7.85e+06   | C    |  121484.252  -   145129.51  | 3s.4d  | 3D   | 1   | 3s.8f  | 3F*  | 2   |    | T6298c4,LS |      L3515  |
                  |        429.3943  |        | 4.85e+05   | C+   |  111637.33   -   134919.40  | 3p2    | 1S   | 0   | 3s.6p  | 1P*  | 1   |    |      T6533 |             |
        434.6897  |        434.6903  |   5hfs | 4.18e+06   | D    |  123418.48   -   146416.9   | 3s.4f  | 3F*  | 2   | 3s.9g  | 3G   | 3   |    | T6298c4,LS |  L3471c150  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        434.7275  |        | 4.28e+06   | D    |  123420.45   -   146416.9   | 3s.4f  | 3F*  | 3   | 3s.9g  | 3G   | 4   |    | T6298c4,LS |             |
                  |        434.7275  |        | 3.67e+05   | E    |  123420.45   -   146416.9   | 3s.4f  | 3F*  | 3   | 3s.9g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        434.7825  |        | 4.56e+06   | C    |  123423.36   -   146416.9   | 3s.4f  | 3F*  | 4   | 3s.9g  | 3G   | 5   |    | T6298c4,LS |             |
                  |        434.7825  |        | 5.58e+03   | E    |  123423.36   -   146416.9   | 3s.4f  | 3F*  | 4   | 3s.9g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        434.7825  |        | 2.85e+05   | E    |  123423.36   -   146416.9   | 3s.4f  | 3F*  | 4   | 3s.9g  | 3G   | 4   |    | T6298c4,LS |             |
